"Boyut,Ag?rl?k,Tatl?l?k,Yumu?akl?k,Hasatzaman?,Olgunluk,Asitlik,Quality"
"-2.782.941,75.486.904,39.492.462,-2.365.367,-33.238.535,37.423.316,10.204.703,Good"
"-35.920.205,22.077.335,29.870.528,-17.596.992,-41.161.947,60.493.183,-23.875.804,Good"
"-24.340.453,2.886.807,45.519.843,56.626.016,-9.925.127,-42.805.128,95.390.195,Good"
"-2.588.811,12.436.007,7.663.513,-31.944.122,-14.206.406,12.823.133,-6.608.253,Good"
"-33.195.837,16.462.616,18.834.593,-17.922.987,-15.980.446,2.915.999,14.931.625,Good"
"-17.854.432,20.128.102,-21.385.653,-23.862.445,-11.568.494,42.926.435,2.850.856,Good"
"42.321.467,1.216.493,41.747.713,-183.184,-16.256.002,16.459.818,3.360.809,Good"
"-27.073.379,96.455.824,-9.822.509,-23.663.268,-23.228.652,21.088.908,22.938.772,Good"
"-78.675.115,10.519.774,36.323.385,-17.042.174,-13.261.677,57.549.775,29.056.823,Good"
"-17.753.888,67.442.715,15.054.814,-24.176.888,-24.172.618,19.787.519,3.796.403,Good"
"-21.393.306,5.922.464,2.298.058,-20.153.322,-28.479.195,15.852.108,2.893.043,Good"
"-11.789.728,12.442.963,24.287.562,-4.634.941,-2.154.636,-13.416.997,45.906.043,Good"
"-2.399.901,44.156.817,16.598.432,-1.879.707,-15.261.422,17.138.225,23.953.917,Good"
"-16.788.108,17.189.255,-27.750.232,-31.248.822,-14.007.191,3.788.991,30.928.159,Good"
"-25.943.422,94.918.203,9.342.018,-13.439.014,-13.012.756,7.491.646,8.645.365,Good"
"-2.658.069,14.006.454,16.984.655,-12.373.397,-41.874.555,11.164.031,7.656.907,Good"
"-1.409.863,57.780.695,41.600.714,-4.050.118,-2.195.653,-29.388.124,25.594.692,Good"
"-15.790.887,1.420.451,22.011.082,-14.067.649,22.585.366,17.333.335,59.500.575,Good"
"-1.217.433,11.101.815,30.499.556,-27.939.584,-2.277.606,2.319.198,-7.575.211,Good"
"-23.622,5.948.414,17.815.757,-8.677.102,-34.469.368,-29.636.568,17.661.168,Good"
"20.099.993,13.980.714,1.928.721,-10.204.152,-10.906.924,14.899.552,39.766.634,Good"
"-1.230.858,20.557.868,-65.085.864,-19.434.692,3.052.706,22.932.816,4.033.556,Good"
"-15.939.391,12.523.319,21.407.607,-1.703.821,-7.350.021,17.069.542,2.319.107,Good"
"-18.131.001,1.660.863,-38.276.665,-8.049.782,-2.465.801,2.588.006,26.343.071,Good"
"27.019.992,1.297.477,-155.705.875,-20.305.762,-15.170.535,18.593.166,33.380.978,Good"
"-47.375.187,14.231.814,92.107.797,-19.092.863,-7.548.529,1.732.145,24.522.493,Good"
"-28.810.253,76.872.385,13.427.696,-17.814.822,-20.631.697,14.916.106,-12.546.854,Good"
"-345.056,326.434,-7.509.927,-13.260.083,-12.954.346,7.402.779,-31.665.105,Good"
"-12.196.995,16.558.651,34.523.816,71.627.134,-25.122,-16.198.435,20.065.353,Good"
"-12.061.424,16.891.425,41.967.616,-11.576.262,-17.719.939,23.626.368,2.158.953,Good"
"-9.542.388,21.476.486,75.167.674,-10.501.134,-13.605.429,21.022.749,7.916.033,Good"
"-44.739.762,7.220.355,26.230.454,-32.662.692,389.777,18.092.605,13.144.898,Good"
"-22.162.743,19.939.039,31.184.468,-20.300.775,-27.884.579,36.508.548,51.620.245,Good"
"-26.101.234,29.885.745,-18.547.224,-8.957.349,-22.848.642,23.401.122,20.425.016,Good"
"-6.130.011,4.004.556,91.598.123,10.671.141,1.233.278,2.766.467,28.707.278,Good"
"-39.651.575,43.198.353,1.150.413,-22.626.958,-34.865.606,14.481.925,-612.869,Good"
"-29.295.595,25.993.326,3.879.349,-17.081.244,-2.476.623,15.244.895,18.768.175,Good"
"-11.816.068,256.084,1.812.272,-16.404.678,-10.247.778,33.863.413,13.333.619,Good"
"-1.299.546,34.974.894,72.236.353,-30.887.952,-14.029.287,30.978.577,60.618.097,Good"
"-31.104.758,3.035.432,-86.402.947,-29.675.475,-25.698.123,-43.028.393,81.500.894,Good"
"-24.822.404,15.911.036,20.548.077,-31.490.937,-1.975.586,25.559.717,27.234.411,Good"
"-36.107.564,11.889.884,-17.188.522,-38.810.153,-1.196.476,51.612.086,20.760.572,Good"
"-6.922.944,2.257.594,1.099.142,-12.216.759,18.242.111,28.704.627,18.638.871,Good"
"7.127.952,11.747.179,34.868.796,40.493.068,-22.195.609,-14.480.212,3.631.408,Good"
"12.698.971,23.036.332,14.054.686,-1.790.537,-17.015.041,249.581,2.889.641,Good"
"-23.466.158,19.936.157,4.314.726,3.832.707,-9.407.811,2.902.305,26.187.365,Good"
"-72.851.557,24.705.832,22.456.536,-14.007.604,46.730.566,30.611.982,13.735.898,Good"
"-13.064.482,12.213.271,-2.721.367,-21.779.032,-85.562.795,16.370.562,64.137.566,Good"
"-11.105.348,11.147.361,2.508.469,-18.817.368,-32.432.382,2.382.193,4.101.438,Good"
"-18.281.684,9.966.494,5.360.637,-1.321.495,-15.460.961,-32.917.082,40.278.792,Good"
"-450.421,23.846.414,11.091.154,-10.531.484,-9.863.528,14.854.734,17.437.967,Good"
"11.924.437,13.216.898,14.158.094,-20.616.174,-8.698.168,216.478,5.078.788,Good"
"-1.814.008,26.984.422,1.027.549,193.191,-22.515.852,48.482.335,8.334.251,Good"
"-1.054.993,9.211.657,50.241.785,-19.853.462,-61.688.215,37.990.007,17.727.671,Good"
"51.993.906,2.227.953,12.397.361,-16.299.797,-5.958.247,2.419.514,6.389.725,Good"
"-16.597.949,11.377.584,29.108.732,-479.264,-1.923.504,-13.190.246,10.971.357,Good"
"2.502.692,24.266.376,59.869.695,2.0901,-57.886.356,-10.254.756,46.529.217,Good"
"-9.670.032,16.988.556,29.136.715,20.338.304,-9.044.924,9.436.017,13.542.233,Good"
"-20.467.126,4.483.807,30.211.163,35.028.878,-13.636.975,93.435.204,9.216.241,Good"
"-4.024.721,-24.503.136,-59.893.495,-19.277.303,-16.304.517,-37.740.347,22.684.944,Good"
"-8.881.911,9.422.389,19.693.173,-14.352.556,-18.429.407,11.682.941,63.932.747,Good"
"-25.625.415,-3.631.764,7.107.156,-17.477.956,-32.683.582,15.143.855,34.628.673,Good"
"52.779.794,45.741.467,11.490.239,32.820.823,-96.170.294,-9.344.722,49.180.775,Good"
"1.554.675,3.386.331,30.103.817,-9.834.859,-64.399.475,23.071.744,26.497.633,Good"
"-25.344.558,34.781.897,20.672.545,-203.182,-90.272.516,51.680.064,10.251.666,Good"
"-21.178.348,44.823.825,-70.804.936,-23.589.922,-17.690.532,-29.501.768,14.737.345,Good"
"-30.119.286,33.856.874,1.696.001,-7.334.854,-15.148.627,1.098.091,10.818.607,Good"
"-31.632.397,5.190.117,35.061.688,-19.247.246,-39.758.108,15.610.439,2.010.855,Good"
"-45.955.995,11.116.257,12.813.885,-18.434.857,-6.729.742,24.795.513,33.177.612,Good"
"-2.198.826,21.735.644,-8.848.278,-30.286.717,-12.195.662,29.330.337,34.479.346,Good"
"-17.048.227,34.812.863,3.714.095,7.723.083,-17.405.785,-2.688.851,2.071.852,Good"
"16.055.828,383.747,4.707.172,-6.874.564,4.240.359,23.808.267,27.052.019,Good"
"-18.386.763,15.341.911,-43.455.172,-42.127.958,-6.494.295,15.420.948,23.294.228,Good"
"-9.622.371,16.923.392,2.126.118,-21.778.967,-6.767.218,2.027.534,12.092.739,Good"
"-99.711.657,17.619.665,1.330.727,-13.944.442,-20.030.317,20.573.435,3.026.417,Good"
"-68.475.926,25.753.822,-47.405.958,-26.020.458,-18.825.239,31.955.516,16.559.013,Good"
"-23.814.893,21.986.482,84.719.443,-1.363.358,-26.924.636,12.312.024,-11.516.764,Good"
"-4.023.589,20.093.796,4.437.625,-9.163.847,-19.266.577,83.887.196,8.850.456,Good"
"-41.097.954,2.851.044,18.322.506,2.706.398,-95.489.725,7.528.487,45.788.918,Good"
"-31.455.653,65.329.343,29.006.922,-43.764.234,-3.403.482,-24.500.654,23.933.472,Good"
"-23.024.242,297.504,14.574.327,41.413.355,-1.491.382,-3.315.868,203.265,Good"
"-11.149.212,-11.468.344,21.013.944,-39.136.639,-14.725.747,42.695.947,3.324.977,Good"
"-2.157.634,14.012.272,37.467,-14.609.358,-8.757.255,31.849.163,25.052.466,Good"
"-11.121.278,21.269.753,-34.089.097,-421.575,5.741.205,34.703.746,-10.886.568,Good"
"-2.987.577,2.088.725,18.645.944,-4.480.923,-22.963.095,12.755.101,1.236.839,Good"
"-26.814.518,10.695.193,5.822.527,-24.268.227,-19.601.123,2.473.034,2.387.551,Good"
"-4.225.828,35.135.748,16.498.938,4.017.425,-9.254.088,-9.825.993,13.516.381,Good"
"-15.234.363,66.062.295,17.103.767,-21.701.698,-15.643.575,24.999.123,-25.993.413,Good"
"-24.435.523,21.760.076,31.122.236,-6.226.118,-39.338.846,8.761.849,13.277.966,Good"
"-11.251.339,16.282.772,-1.694.002,-2.136.808,-24.274.573,23.011.932,20.414.662,Good"
"-26.270.206,1.059.819,20.698.185,-12.391.235,-27.733.302,-34.887.187,14.892.583,Good"
"-10.722.417,24.202.857,15.472.491,-4.104.882,-5.291.139,9.030.714,-42.705.777,Good"
"-11.927.223,23.305.373,-39.125.946,-13.388.925,-48.447.317,15.942.357,16.108.661,Good"
"3.859.562,18.693.099,10.204.923,-18.465.348,-14.480.664,30.656.822,30.149.934,Good"
"-16.047.633,27.042.428,11.307.408,-22.177.837,-16.907.573,20.957.081,29.535.902,Good"
"-14.908.154,7.199.391,22.027.805,-16.811.324,-42.823.396,12.517.632,41.205.597,Good"
"-2.435.193,9.898.657,20.529.294,-18.109.539,-18.659.729,10.835.555,36.931.033,Good"
"-2.110.472,1.944.136,36.521.413,-3.582.351,-74.876.356,64.100.766,35.972.495,Good"
"-19.447.157,5.928.181,4.024.989,-32.783.446,-41.138.444,-17.363.428,27.568.226,Good"
"13.995.605,31.443.033,4.153.282,-6.107.541,-35.883.284,11.773.455,18.772.647,Good"
"-33.921.814,19.759.095,19.564.621,-5.331.625,-19.599.555,10.830.373,39.165.586,Good"
"-16.387.252,15.943.764,17.718.523,-9.162.968,-17.978.132,9.392.285,22.342.558,Good"
"-47.127.888,17.959.186,-72.358.884,-23.417.764,-16.752.182,37.278.636,11.311.659,Good"
"-26.541.195,32.128.844,35.619.395,11.921.142,-13.443.855,-15.851.719,4.133.641,Good"
"-24.279.913,-5.566.818,-1.036.288,-58.163.943,-14.839.643,54.078.555,-10.256.218,Good"
"-22.044.895,1.064.642,31.100.838,-37.221.718,-2.427.604,-6.126.933,29.339.845,Good"
"2.510.409,2.261.117,52.496.796,-21.834.974,-16.038.548,2.623.208,3.179.658,Good"
"-35.213.833,94.402.164,29.124.057,-17.131.271,-16.961.045,19.881.151,7.263.566,Good"
"-17.013.432,12.954.683,2.704.628,-17.510.195,-22.927.282,17.079.097,26.732.516,Good"
"-3.284.054,20.181.751,38.867.764,-12.990.474,-26.645.803,-25.943.166,-22.715.569,Good"
"-2.856.516,26.390.772,-1.330.393,-21.140.199,-45.851.767,28.789.842,-41.412.875,Good"
"-3.001.312,22.480.912,81.566.036,-17.754.573,-16.378.964,13.416.252,3.508.889,Good"
"-54.573.873,2.735.709,21.572.292,-51.125.854,-9.896.552,6.003.623,2.783.185,Good"
"27.606.845,14.490.379,10.280.615,-16.157.744,-1.767.542,15.479.383,2.776.441,Good"
"-42.765.543,26.407.113,13.214.487,-85.500.985,17.711.598,15.444.524,3.208.103,Good"
"-13.538.704,35.300.794,1.502.134,-15.435.258,-4.928.846,13.932.291,-4.202.633,Good"
"-39.244.202,7.180.199,-7.209.792,-84.598.464,-8.048.739,11.505.183,20.962.071,Good"
"-2.139.886,14.905.034,7.599.966,-25.200.567,-22.634.377,10.042.523,15.139.756,Good"
"3.949.736,25.948.174,27.133.164,-4.245.374,4.244.575,15.061.617,21.068.285,Good"
"-39.255.637,16.297.188,4.376.361,-84.368.056,-18.248.017,33.404.827,21.215.007,Good"
"-9.512.467,27.755.542,36.330.305,-2.581.294,10.725.062,35.582.175,19.507.653,Good"
"88.868.016,4.094.424,1.701.332,-99.409.544,-11.895.086,22.030.997,9.271.929,Good"
"-19.270.897,19.548.934,5.969.426,-87.597.084,-14.703.715,2.601.365,19.499.056,Good"
"-18.324.747,12.526.348,35.302.038,-11.898.847,-66.119.933,-3.388.104,21.932.895,Good"
"-37.690.942,88.882.434,29.275.935,-10.658.883,-3.377.275,10.848.063,2.879.123,Good"
"-2.783.545,14.079.295,28.463.502,3.973.582,-11.092.337,-6.210.936,2.170.828,Good"
"-32.663.136,23.534.725,90.059.435,-17.809.409,-98.173.183,22.539.673,12.509.619,Good"
"10.026.144,12.193.352,8.514.518,-10.278.176,-55.652.285,11.182.408,32.497.482,Good"
"-37.434.332,48.978.892,5.198.063,5.064.637,-35.824.196,-57.944.036,16.293.567,Good"
"-58.613.834,12.891.873,-16.400.464,-33.814.025,-2.713.121,3.078.355,15.026.616,Good"
"3.968.124,33.580.818,38.269.048,13.594.838,-19.276.252,6.884.564,46.216.946,Good"
"19.892.198,16.047.521,12.709.569,-5.547.125,-15.906.969,66.611.737,4.616.125,Good"
"-1.721.894,-33.186.004,11.518.139,-23.799.295,-32.248.025,2.204.157,4.206.721,Good"
"-13.948.298,23.001.823,18.672.433,-18.075.296,-58.071.536,79.859.495,7.956.436,Good"
"-34.108.838,250.026,41.287.848,-33.549.337,-74.631.953,4.354.462,24.152.007,Good"
"79.816.085,29.669.487,14.508.449,3.529.496,17.463.923,-62.516.224,21.910.524,Good"
"-11.990.542,17.235.714,21.260.788,-34.187.937,-28.866.851,-87.073.565,39.381.616,Good"
"-883.021,18.304.361,11.279.057,-7.127.093,1.054.997,12.438.501,11.003.811,Good"
"5.217.917,31.924.205,3.418.907,26.725.492,-26.096.683,-5.749.232,13.426.129,Good"
"63.969.207,25.746.386,12.726.414,-1.204.843,85.586.405,14.288.766,15.376.071,Good"
"-3.244.228,22.948.635,46.163.578,-19.870.837,-7.717.224,2.044.768,9.371.963,Good"
"-14.175.266,129.186,76.784.307,-774.417,-93.060.803,3.202.394,12.187.933,Good"
"-23.460.853,7.456.157,21.542.728,-19.134.973,-1.421.793,202.221,-96.300.745,Good"
"-11.329.637,10.351.024,31.440.964,-19.545.342,-5.619.872,29.285.703,21.003.895,Good"
"-9.435.819,11.657.606,20.586.886,-12.576.402,-12.258.438,2.408.934,1.717.871,Good"
